Type,Year,Month,Month_text,Sales,New_Listings,Active_Listings,AverageDOM,Average_Price,Median_Price,Benchmark_Price
All,2010,4,Apr,1984,4396,7357,38,405917,369000,376400
RES,2008,8,Aug,2035,4220,12597,58,405167,360000,378300
SFD,2006,12,Dec,1186,962,2153,43,405070,367000,397100
All,2009,9,Sep,1825,2785,4621,41,405055,356000,359300
All,2010,10,Oct,1188,2466,6496,53,404778,360000,357300
RES,2011,1,Jan,1316,3676,7981,64,404637,350000,348600
All,2011,8,Aug,1569,2960,6473,50,404153,363800,362900
RES,2007,2,Feb,3374,3821,.,33,403668,365950,377500
RES,2009,12,Dec,1379,1685,5938,53,403652,361000,361800
RES,2009,6,Jun,3105,4217,9280,51,403608,360000,345000
RES,2008,9,Sep,2034,4851,12105,58,402841,360000,374500
RES,2008,10,Oct,1490,4385,12231,54,402719,352500,370300
All,2009,12,Dec,1123,1243,3208,47,402279,365000,366500
All,2007,2,Feb,2831,3080,4588,29,402235,369000,382000
RES,2010,8,Aug,1577,3571,11818,58,402208,355000,360900
All,2011,12,Dec,1025,1076,3989,60,402165,359000,361600
RES,2010,2,Feb,1947,4181,8054,44,401975,352500,366700
All,2009,6,Jun,2557,3152,5082,46,400459,363500,348800
RES,2009,8,Aug,2357,3580,8710,52,399632,352000,352000
All,2007,12,Dec,1231,1446,4861,51,399273,368750,397600
All,2008,9,Sep,1609,3807,8003,52,399241,362000,377700
All,2010,8,Aug,1223,2755,7231,52,398795,358000,364800
All,2010,2,Feb,1564,3250,4797,38,398762,355000,371900
RES,2009,7,Jul,2799,4023,9088,51,397168,355000,348900
All,2009,8,Aug,1897,2727,4716,44,397144,355000,356100
RES,2010,1,Jan,1406,3624,6753,52,396696,355000,363100
RES,2009,5,May,2664,4261,9936,53,395754,350000,342500
All,2008,8,Aug,1660,3313,8195,54,395424,360000,381500
RES,2012,1,Jan,1326,3478,7256,69,393778,353500,355600
All,2010,12,Dec,1048,1109,4318,60,393599,349700,352800
All,2008,10,Oct,1214,3373,8108,49,393021,350000,373400
RES,2010,12,Dec,1262,1501,7141,65,391826,345000,348600
All,2012,1,Jan,1068,2530,4367,60,391372,358450,361000
All,2009,7,Jul,2269,2987,4843,45,390606,354500,352400
All,2008,11,Nov,949,2293,7420,54,390568,348000,366800
RES,2008,11,Nov,1157,2919,11263,59,390210,348900,363700
All,2009,5,May,2227,3209,5750,47,389454,350000,345800
All,2010,1,Jan,1128,2762,3861,45,388849,355000,367800
SFD,2006,4,Apr,2032,2185,992,15,388276,356000,338600
All,2007,1,Jan,2227,3308,4595,39,385214,343000,373000
RES,2006,10,Oct,2152,4343,.,33,384862,336000,367300
All,2006,9,Sep,1743,4077,.,28,383976,340000,371700
All,2006,10,Oct,1775,3569,.,31,383763,338500,371500
RES,2006,6,Jun,3420,4670,.,17,381851,338700,339900
RES,2007,1,Jan,2645,4073,.,41,381554,339900,369000
RES,2009,2,Feb,1406,3778,9880,57,381406,345000,342900
All,2009,4,Apr,1854,2948,6102,54,381379,345500,343900
RES,2009,4,Apr,2223,3914,10076,58,381315,344000,340800
RES,2006,9,Sep,2211,4930,.,32,381286,337000,367100
All,2009,3,Mar,1521,2906,6351,51,380645,340500,343600
RES,2009,3,Mar,1812,3912,10154,55,380311,340000,340800
All,2006,8,Aug,2016,3543,.,24,380252,339000,368700
SFD,2006,3,Mar,2038,2458,941,14,380174,339000,319100
All,2006,6,Jun,2817,3832,.,15,379098,343950,345400
RES,2008,12,Dec,787,1654,8375,67,378406,344000,356700
RES,2006,5,May,3589,4261,.,17,378252,330000,319600
RES,2006,8,Aug,2543,4392,.,26,377566,331000,363500
RES,2006,11,Nov,2338,2902,.,40,373086,337500,366000
All,2009,2,Feb,1160,2927,6353,51,373079,340750,345600
RES,2009,1,Jan,924,3896,9160,66,372824,342000,347400
All,2008,12,Dec,652,1259,5666,61,372709,342750,360100
All,2006,7,Jul,2108,3751,.,18,372478,342150,359900
All,2006,5,May,2922,3465,.,14,372383,334500,324600
RES,2006,7,Jul,2609,4595,.,21,371104,335000,354400
All,2009,1,Jan,768,2998,5906,63,370697,343500,350500
All,2006,11,Nov,1992,2343,.,38,370597,338000,369800
RES,2006,12,Dec,2021,1703,.,45,370362,335000,365000
All,2006,12,Dec,1718,1388,.,43,366307,337750,368700
SFD,2006,2,Feb,1796,1957,826,17,361048,321000,300000
RES,2006,4,Apr,3463,3663,.,18,359182,318000,297500
All,2006,4,Apr,2829,3018,.,14,350892,320000,302100
SFD,2006,1,Jan,1439,1763,748,26,339188,305000,282300
All,2006,3,Mar,2912,3351,.,15,337067,295000,284200
RES,2006,3,Mar,3544,4035,.,19,334929,289900,279900
RES,2006,2,Feb,3100,3318,.,22,316714,271063,263400
All,2006,2,Feb,2601,2709,.,18,316531,275100,267300
SFD,2005,12,Dec,1135,913,935,30,312514,274400,272600
All,2006,1,Jan,1993,2493,.,27,303133,268500,252900
SFD,2005,11,Nov,1529,1420,1263,31,302733,268900,267000
RES,2006,1,Jan,2420,3047,.,32,298151,259900,249800
SFD,2005,9,Sep,1559,1906,1933,31,293135,257500,259000
SFD,2005,10,Oct,1506,1651,1670,31,292463,258000,263000
SFD,2005,5,May,1899,2525,2825,32,287094,250000,248600
SFD,2005,3,Mar,1851,2523,2850,33,286573,254000,242700
SFD,2005,4,Apr,1978,2492,2753,32,284568,248500,245100
RES,2005,12,Dec,1907,1583,.,35,282347,240000,242200
SFD,2005,7,Jul,1570,1847,2369,35,282108,252250,253300
SFD,2005,8,Aug,1602,1925,2146,33,280842,255000,255900
SFD,2005,6,Jun,1872,2194,2590,32,280725,249000,251200
All,2005,12,Dec,1619,1283,.,31,276568,240000,245000
SFD,2005,1,Jan,998,1967,2625,46,273595,241000,235600
SFD,2005,2,Feb,1385,2054,2700,36,272301,240000,238200
RES,2005,11,Nov,2657,2455,.,36,272177,233000,237900
All,2005,11,Nov,2229,2018,.,32,266999,233156,240500
RES,2005,10,Oct,2631,2876,.,38,266427,227250,234500
RES,2005,9,Sep,2676,3347,.,37,262462,226500,231400
All,2005,9,Sep,2197,2693,.,32,261001,228000,233900
RES,2005,3,Mar,3027,4227,.,40,259509,225000,217600
RES,2005,4,Apr,3278,4327,.,40,258974,224500,219700
RES,2005,5,May,3219,4283,.,39,258936,225000,222700
All,2005,10,Oct,2204,2339,.,33,258908,227000,237100
All,2005,3,Mar,2564,3492,.,36,256876,226000,219500
All,2005,5,May,2675,3492,.,34,256511,226900,224900
All,2005,4,Apr,2740,3487,.,34,256187,224950,221700
RES,2005,7,Jul,2798,3278,.,41,255978,225000,226700
RES,2005,6,Jun,3196,3743,.,39,255216,223250,224800
RES,2005,8,Aug,2853,3415,.,38,254221,223000,228800
All,2005,6,Jun,2678,3041,.,34,252233,225000,227000
RES,2005,1,Jan,1634,3586,.,50,250835,219000,212100
All,2005,7,Jul,2273,2592,.,36,250661,224500,229000
All,2005,8,Aug,2326,2792,.,34,249583,223250,231100
RES,2005,2,Feb,2263,3556,.,43,249322,217500,214200
All,2005,2,Feb,1931,2859,.,39,246166,218000,216100
All,2005,1,Jan,1397,2874,.,47,245670,219900,214000
