Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2012,Canada,Average expenditure per household,All classes,Principal accommodation,v54530460,1.1.1.7,14364
2013,Canada,Average expenditure per household,All classes,Principal accommodation,v54530460,1.1.1.7,14891
2014,Canada,Average expenditure per household,All classes,Principal accommodation,v54530460,1.1.1.7,15471
2010,Canada,Average expenditure per household,All classes,Rented living quarters,v54530461,1.1.1.8,3088
2011,Canada,Average expenditure per household,All classes,Rented living quarters,v54530461,1.1.1.8,3224
2012,Canada,Average expenditure per household,All classes,Rented living quarters,v54530461,1.1.1.8,3521
2013,Canada,Average expenditure per household,All classes,Rented living quarters,v54530461,1.1.1.8,3234
2014,Canada,Average expenditure per household,All classes,Rented living quarters,v54530461,1.1.1.8,3589
2010,Canada,Average expenditure per household,All classes,Rent,v64476210,1.1.1.53,3001
2011,Canada,Average expenditure per household,All classes,Rent,v64476210,1.1.1.53,3137
2012,Canada,Average expenditure per household,All classes,Rent,v64476210,1.1.1.53,3415
2013,Canada,Average expenditure per household,All classes,Rent,v64476210,1.1.1.53,3152
2014,Canada,Average expenditure per household,All classes,Rent,v64476210,1.1.1.53,3488
2010,Canada,Average expenditure per household,All classes,Tenants' repairs and improvements,v64476211,1.1.1.54,33
2011,Canada,Average expenditure per household,All classes,Tenants' repairs and improvements,v64476211,1.1.1.54,29
2012,Canada,Average expenditure per household,All classes,Tenants' repairs and improvements,v64476211,1.1.1.54,40
2013,Canada,Average expenditure per household,All classes,Tenants' repairs and improvements,v64476211,1.1.1.54,24
2014,Canada,Average expenditure per household,All classes,Tenants' repairs and improvements,v64476211,1.1.1.54,31
2010,Canada,Average expenditure per household,All classes,Tenants' insurance premiums,v64476212,1.1.1.55,46
2011,Canada,Average expenditure per household,All classes,Tenants' insurance premiums,v64476212,1.1.1.55,47
2012,Canada,Average expenditure per household,All classes,Tenants' insurance premiums,v64476212,1.1.1.55,53
2013,Canada,Average expenditure per household,All classes,Tenants' insurance premiums,v64476212,1.1.1.55,49
2014,Canada,Average expenditure per household,All classes,Tenants' insurance premiums,v64476212,1.1.1.55,57
2010,Canada,Average expenditure per household,All classes,Parking at rented living quarters (excluding amounts reported with rent),v64476213,1.1.1.56,8
2011,Canada,Average expenditure per household,All classes,Parking at rented living quarters (excluding amounts reported with rent),v64476213,1.1.1.56,11
2012,Canada,Average expenditure per household,All classes,Parking at rented living quarters (excluding amounts reported with rent),v64476213,1.1.1.56,12
2013,Canada,Average expenditure per household,All classes,Parking at rented living quarters (excluding amounts reported with rent),v64476213,1.1.1.56,9
2014,Canada,Average expenditure per household,All classes,Parking at rented living quarters (excluding amounts reported with rent),v64476213,1.1.1.56,13
2010,Canada,Average expenditure per household,All classes,Owned living quarters,v54530462,1.1.1.9,8259
2011,Canada,Average expenditure per household,All classes,Owned living quarters,v54530462,1.1.1.9,8434
2012,Canada,Average expenditure per household,All classes,Owned living quarters,v54530462,1.1.1.9,8536
2013,Canada,Average expenditure per household,All classes,Owned living quarters,v54530462,1.1.1.9,9278
2014,Canada,Average expenditure per household,All classes,Owned living quarters,v54530462,1.1.1.9,9332
2010,Canada,Average expenditure per household,All classes,Mortgage paid for owned living quarters,v64476214,1.1.1.57,4699
2011,Canada,Average expenditure per household,All classes,Mortgage paid for owned living quarters,v64476214,1.1.1.57,4805
2012,Canada,Average expenditure per household,All classes,Mortgage paid for owned living quarters,v64476214,1.1.1.57,4830
2013,Canada,Average expenditure per household,All classes,Mortgage paid for owned living quarters,v64476214,1.1.1.57,5385
2014,Canada,Average expenditure per household,All classes,Mortgage paid for owned living quarters,v64476214,1.1.1.57,5261
2010,Canada,Average expenditure per household,All classes,Repairs and maintenance for owned living quarters,v64476215,1.1.1.58,383
2011,Canada,Average expenditure per household,All classes,Repairs and maintenance for owned living quarters,v64476215,1.1.1.58,413
2012,Canada,Average expenditure per household,All classes,Repairs and maintenance for owned living quarters,v64476215,1.1.1.58,476
2013,Canada,Average expenditure per household,All classes,Repairs and maintenance for owned living quarters,v64476215,1.1.1.58,449
2014,Canada,Average expenditure per household,All classes,Repairs and maintenance for owned living quarters,v64476215,1.1.1.58,491
2010,Canada,Average expenditure per household,All classes,Condominium fees for owned living quarters,v64476216,1.1.1.59,254
2011,Canada,Average expenditure per household,All classes,Condominium fees for owned living quarters,v64476216,1.1.1.59,245
2012,Canada,Average expenditure per household,All classes,Condominium fees for owned living quarters,v64476216,1.1.1.59,245
2013,Canada,Average expenditure per household,All classes,Condominium fees for owned living quarters,v64476216,1.1.1.59,251
2014,Canada,Average expenditure per household,All classes,Condominium fees for owned living quarters,v64476216,1.1.1.59,295
2010,Canada,Average expenditure per household,All classes,Property and school taxes for owned living quarters,v64476217,1.1.1.60,1738
2011,Canada,Average expenditure per household,All classes,Property and school taxes for owned living quarters,v64476217,1.1.1.60,1779
2012,Canada,Average expenditure per household,All classes,Property and school taxes for owned living quarters,v64476217,1.1.1.60,1803
2013,Canada,Average expenditure per household,All classes,Property and school taxes for owned living quarters,v64476217,1.1.1.60,1917
2014,Canada,Average expenditure per household,All classes,Property and school taxes for owned living quarters,v64476217,1.1.1.60,1940
2010,Canada,Average expenditure per household,All classes,Homeowners' insurance premiums for owned living quarters,v64476218,1.1.1.61,541
2011,Canada,Average expenditure per household,All classes,Homeowners' insurance premiums for owned living quarters,v64476218,1.1.1.61,567
2012,Canada,Average expenditure per household,All classes,Homeowners' insurance premiums for owned living quarters,v64476218,1.1.1.61,589
2013,Canada,Average expenditure per household,All classes,Homeowners' insurance premiums for owned living quarters,v64476218,1.1.1.61,625
2014,Canada,Average expenditure per household,All classes,Homeowners' insurance premiums for owned living quarters,v64476218,1.1.1.61,671
2010,Canada,Average expenditure per household,All classes,Other expenditures for owned living quarters,v64476219,1.1.1.62,644
2011,Canada,Average expenditure per household,All classes,Other expenditures for owned living quarters,v64476219,1.1.1.62,625
2012,Canada,Average expenditure per household,All classes,Other expenditures for owned living quarters,v64476219,1.1.1.62,594
2013,Canada,Average expenditure per household,All classes,Other expenditures for owned living quarters,v64476219,1.1.1.62,650
2014,Canada,Average expenditure per household,All classes,Other expenditures for owned living quarters,v64476219,1.1.1.62,673
2010,Canada,Average expenditure per household,All classes,Commissions for sale of real estate owned by the household,v64476220,1.1.1.63,256
2011,Canada,Average expenditure per household,All classes,Commissions for sale of real estate owned by the household,v64476220,1.1.1.63,232
2012,Canada,Average expenditure per household,All classes,Commissions for sale of real estate owned by the household,v64476220,1.1.1.63,214
2013,Canada,Average expenditure per household,All classes,Commissions for sale of real estate owned by the household,v64476220,1.1.1.63,277
2014,Canada,Average expenditure per household,All classes,Commissions for sale of real estate owned by the household,v64476220,1.1.1.63,299
2010,Canada,Average expenditure per household,All classes,Legal fees related to owned living quarters,v64476221,1.1.1.64,68
2011,Canada,Average expenditure per household,All classes,Legal fees related to owned living quarters,v64476221,1.1.1.64,57
2012,Canada,Average expenditure per household,All classes,Legal fees related to owned living quarters,v64476221,1.1.1.64,63
2013,Canada,Average expenditure per household,All classes,Legal fees related to owned living quarters,v64476221,1.1.1.64,66
2014,Canada,Average expenditure per household,All classes,Legal fees related to owned living quarters,v64476221,1.1.1.64,68
2010,Canada,Average expenditure per household,All classes,Mortgage insurance premiums for owned living quarters,v64476222,1.1.1.65,93
2011,Canada,Average expenditure per household,All classes,Mortgage insurance premiums for owned living quarters,v64476222,1.1.1.65,86
2012,Canada,Average expenditure per household,All classes,Mortgage insurance premiums for owned living quarters,v64476222,1.1.1.65,106
2013,Canada,Average expenditure per household,All classes,Mortgage insurance premiums for owned living quarters,v64476222,1.1.1.65,113
2014,Canada,Average expenditure per household,All classes,Mortgage insurance premiums for owned living quarters,v64476222,1.1.1.65,106
2010,Canada,Average expenditure per household,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",v64476223,1.1.1.67,46
2011,Canada,Average expenditure per household,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",v64476223,1.1.1.67,39
2012,Canada,Average expenditure per household,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",v64476223,1.1.1.67,39
2013,Canada,Average expenditure per household,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",v64476223,1.1.1.67,34
2014,Canada,Average expenditure per household,All classes,"Registration fees, renewal fees and early renewal or closing penalties for owned living quarters",v64476223,1.1.1.67,41
2010,Canada,Average expenditure per household,All classes,Transfer taxes and land registration fees for owned living quarters,v64476224,1.1.1.68,153
2011,Canada,Average expenditure per household,All classes,Transfer taxes and land registration fees for owned living quarters,v64476224,1.1.1.68,176
2012,Canada,Average expenditure per household,All classes,Transfer taxes and land registration fees for owned living quarters,v64476224,1.1.1.68,139
2013,Canada,Average expenditure per household,All classes,Transfer taxes and land registration fees for owned living quarters,v64476224,1.1.1.68,126
2014,Canada,Average expenditure per household,All classes,Transfer taxes and land registration fees for owned living quarters,v64476224,1.1.1.68,122
2010,Canada,Average expenditure per household,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),v64476225,1.1.1.316,29
2011,Canada,Average expenditure per household,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),v64476225,1.1.1.316,35
2012,Canada,Average expenditure per household,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),v64476225,1.1.1.316,32
2013,Canada,Average expenditure per household,All classes,All other expenses related to owned living quarters (excluding repairs and maintenance),v64476225,1.1.1.316,33
